Date,Close_A,Open_A,High_A,Low_A,Volumes_A,Change_A,Price_S,Change_S,Price_T,Change_T
08/08/2004,0.55,0.53,0.56,0.53,1520000000,-0.0217,1064.80,0.0008,273.50,-0.0296
08/15/2004,0.55,0.55,0.57,0.54,1830000000,-0.0531,1098.35,0.0315,284.00,0.0383
08/22/2004,0.61,0.55,0.63,0.55,2480000000,-0.0416,1107.77,0.0086,287.40,0.0119
08/29/2004,0.63,0.61,0.64,0.61,1810000000,-0.0688,1113.63,0.0053,280.30,-0.0246
09/05/2004,0.64,0.63,0.65,0.63,1440000000,0.0364,1123.92,0.0092,292.30,0.0428
09/12/2004,0.66,0.64,0.67,0.62,1790000000,0.0022,1128.55,0.0041,292.00,-0.0009
09/19/2004,0.67,0.66,0.69,0.66,1800000000,0.0251,1110.11,-0.0163,288.10,-0.0136
09/26/2004,0.69,0.66,0.7,0.66,1920000000,0.0095,1131.50,0.0193,299.50,0.0399
10/03/2004,0.7,0.7,0.73,0.69,2210000000,0.0371,1122.14,-0.0083,296.30,-0.0109
10/10/2004,0.81,0.69,0.82,0.67,5780000000,-0.0057,1108.20,-0.0124,294.60,-0.0057
10/17/2004,0.85,0.8,0.86,0.8,3830000000,0.0264,1095.74,-0.0112,296.40,0.0061
10/24/2004,0.94,0.84,0.95,0.84,3860000000,0.0763,1130.20,0.0314,305.90,0.0320
10/31/2004,0.98,0.94,1,0.93,4670000000,-0.0117,1166.17,0.0318,315.60,0.0318
11/07/2004,0.99,0.97,0.99,0.95,2320000000,0.0116,1184.17,0.0154,321.50,0.0187
11/14/2004,0.99,0.98,1.02,0.97,2300000000,0.0150,1170.34,-0.0117,320.80,-0.0022
11/21/2004,1.15,1.04,1.17,1.03,5420000000,0.0000,1182.65,0.0105,322.30,0.0049
